Nº,Nome Completo,CPF,Data de Nascimento,Email,CEP,Número
33,Melissa Costa Oliveira,619.582.734-56,2009-02-05,melissa.oliveira@gmail.com,72120-150,29
34,Enzo Souza Lima,736.491.825-67,1985-09-14,enzo.lima@hotmail.com,13465-530,31
35,Lavínia Gomes Rodrigues,192.837.465-78,1995-12-22,lavinia.rodrigues@uol.com.br,93310-002,33
36,Joaquim Ferreira Alves,918.273.645-89,2005-04-10,joaquim.alves@yahoo.com.br,65075-441,35
37,Isadora Martins Carvalho,827.364.591-90,1992-07-03,isadora.carvalho@outlook.com,05425-070,37
38,Matias Barros Correia,364.591.827-01,1981-10-25,matias.correia@terra.com.br,29055-131,39
39,Esther Azevedo Rocha,591.827.364-12,2003-01-18,esther.rocha@protonmail.com,78048-000,41
40,Emanuel Pinto Cardoso,273.645.918-23,1990-04-07,emanuel.cardoso@globomail.com,14801-340,43
41,Rebeca Nunes Dias,482.736.591-34,2001-08-30,rebeca.dias@gmail.com,85851-000,45
42,João Miguel Mendes Castro,619.582.734-45,1986-11-16,joao.castro@hotmail.com,45600-005,47
43,Sarah Barbosa Moraes,736.491.825-56,1997-02-08,sarah.moraes@uol.com.br,68900-070,49
44,Lucca Ramos Pires,192.837.465-67,2008-05-27,lucca.pires@yahoo.com.br,89010-000,51
45,Ana Liz Sousa Farias,918.273.645-78,1994-09-09,ana.farias@outlook.com,59020-000,53
46,Erick Ribeiro da Silva,827.364.591-89,1983-12-01,erick.silva@terra.com.br,76801-058,55
47,Yasmin Pereira Santos,364.591.827-90,2006-03-14,yasmin.santos@protonmail.com,69301-110,57
48,Bryan Costa Oliveira,591.827.364-01,1993-06-25,bryan.oliveira@globomail.com,57035-180,59
49,Antonella Souza Lima,273.645.918-12,1988-08-11,antonella.lima@gmail.com,28905-100,61
50,Felipe Gomes Rodrigues,482.736.591-23,2000-11-03,felipe.rodrigues@hotmail.com,88062-200,63
51,Elisa Ferreira Alves,619.582.734-34,1999-04-19,elisa.alves@uol.com.br,11060-002,65
52,Daniel Martins Carvalho,736.491.825-45,1984-07-28,daniel.carvalho@yahoo.com.br,02430-001,67
53,Alícia Barros Correia,192.837.465-56,2004-10-15,alicia.correia@outlook.com,09090-401,69
54,Breno Azevedo Rocha,918.273.645-67,1991-01-02,breno.rocha@terra.com.br,09721-000,71
55,Clara Pinto Cardoso,827.364.591-78,2002-06-21,clara.cardoso@protonmail.com,09530-250,73
56,Caio Nunes Dias,364.591.827-89,1987-09-18,caio.dias@globomail.com,09895-400,75
57,Maria Cecília Mendes Castro,591.827.364-90,1998-12-27,maria.castro@gmail.com,01549-000,77
58,Enzo Gabriel Barbosa Moraes,273.645.918-01,2007-02-13,enzo.moraes@hotmail.com,04671-090,79
59,Maria Clara Ramos Pires,482.736.591-12,1995-05-05,maria.pires@uol.com.br,05724-002,81
60,Vinícius Sousa Farias,619.582.734-23,1982-08-24,vinicius.farias@yahoo.com.br,08210-040,83
61,Isis Ribeiro da Silva,736.491.825-34,2009-11-09,isis.silva@outlook.com,03362-020,85
62,Benício Pereira Santos,192.837.465-45,1996-02-17,benicio.santos@terra.com.br,20270-003,87
63,Maria Alice Costa Oliveira,918.273.645-56,1980-05-01,maria.oliveira@protonmail.com,21041-040,89
64,João Lucas Souza Lima,827.364.591-67,2010-08-19,joao.lima@globomail.com,22441-140,91
65,Maya Gomes Rodrigues,364.591.827-78,1989-10-08,maya.rodrigues@gmail.com,22775-045,93
66,Davi Lucca Ferreira Alves,591.827.364-89,2001-01-26,davi.alves@hotmail.com,24320-570,95
67,Ana Laura Martins Carvalho,273.645.918-90,1990-03-30,ana.carvalho@uol.com.br,30575-837,97
68,Isaac Barros Correia,482.736.591-01,2003-06-12,isaac.correia@yahoo.com.br,31270-901,99
69,Maria Eduarda Azevedo Rocha,619.582.734-12,1986-09-04,maria.rocha@outlook.com,40296-720,101
70,João Pedro Pinto Cardoso,736.491.825-23,1992-12-11,joao.cardoso@terra.com.br,41820-021,103
71,Maria Helena Nunes Dias,192.837.465-34,2006-03-07,maria.dias@protonmail.com,52061-540,105
72,Anthony Mendes Castro,918.273.645-45,1994-06-28,anthony.castro@globomail.com,54400-160,107
73,Ana Clara Barbosa Moraes,827.364.591-56,1981-08-22,ana.moraes@gmail.com,59064-900,109
74,Leonardo Ramos Pires,364.591.827-67,2008-11-18,leonardo.pires@hotmail.com,60811-341,111
75,Stella Sousa Farias,591.827.364-78,1995-01-05,stella.farias@uol.com.br,62010-390,113
76,Henry Ribeiro da Silva,273.645.918-89,1985-04-14,henry.silva@yahoo.com.br,66085-024,115
77,Gabriela Pereira Santos,482.736.591-90,2005-07-23,gabriela.santos@outlook.com,74215-220,117
78,Caleb Costa Oliveira,619.582.734-01,1992-10-10,caleb.oliveira@terra.com.br,72876-004,119
79,Catarina Souza Lima,736.491.825-12,2002-01-31,catarina.lima@protonmail.com,75020-090,121
80,Murilo Gomes Rodrigues,192.837.465-23,1988-05-20,murilo.rodrigues@globomail.com,78005-300,123
81,Laura Ferreira Alves,918.273.645-34,1999-08-08,laura.alves@gmail.com,88095-100,125
82,Arthur Martins Carvalho,827.364.591-45,1983-11-26,arthur.carvalho@hotmail.com,89251-570,127
83,Ayla Barros Correia,364.591.827-56,2007-03-03,ayla.correia@uol.com.br,87020-035,129
84,Heitor Azevedo Rocha,591.827.364-67,1996-06-15,heitor.rocha@yahoo.com.br,86020-000,131
85,Ana Beatriz Pinto Cardoso,273.645.918-78,1982-09-07,ana.cardoso@outlook.com,83203-210,133
86,Theo Nunes Dias,482.736.591-89,2009-12-24,theo.dias@terra.com.br,85810-000,135
87,Maria Liz Mendes Castro,619.582.734-90,1997-02-12,maria.castro@protonmail.com,96200-360,137
88,Bernardo Barbosa Moraes,736.491.825-01,1980-05-04,bernardo.moraes@globomail.com,97015-510,139
89,Heloísa Ramos Pires,192.837.465-12,2010-08-28,heloisa.pires@gmail.com,95020-460,141
90,Davi Sousa Farias,918.273.645-23,1987-10-17,davi.farias@hotmail.com,93010-002,143
91,Isabella Ribeiro da Silva,827.364.591-34,2000-01-09,isabella.silva@uol.com.br,09691-100,145
92,Samuel Pereira Santos,364.591.827-45,1984-04-03,samuel.santos@yahoo.com.br,09250-490,147
93,Lívia Costa Oliveira,591.827.364-56,2004-07-13,livia.oliveira@outlook.com,09400-330,149
94,Matheus Souza Lima,273.645.918-67,1991-10-22,matheus.lima@terra.com.br,08773-130,151
95,Maria Luiza Gomes Rodrigues,482.736.591-78,1986-12-31,maria.rodrigues@protonmail.com,07190-033,153
96,Lucas Ferreira Alves,619.582.734-89,2001-03-25,lucas.alves@globomail.com,06709-015,155
97,Beatriz Martins Carvalho,736.491.825-90,1995-06-06,beatriz.carvalho@gmail.com,06454-000,157
98,Nicolas Barros Correia,192.837.465-01,2008-09-13,nicolas.correia@hotmail.com,13209-010,159
99,Mariana Azevedo Rocha,918.273.645-12,1993-11-30,mariana.rocha@uol.com.br,13330-140,161
100,Guilherme Pinto Cardoso,827.364.591-23,1980-02-19,guilherme.cardoso@yahoo.com.br,13480-011,163
101,Cecília Nunes Dias,364.591.827-34,2006-05-10,cecilia.dias@outlook.com,12940-260,165
102,Pedro Mendes Castro,591.827.364-45,1998-08-01,pedro.castro@terra.com.br,12308-051,167
103,Lorena Barbosa Moraes,273.645.918-56,1985-11-12,lorena.moraes@protonmail.com,12227-000,169
104,Rafael Ramos Pires,482.736.591-67,2003-02-23,rafael.pires@globomail.com,11660-150,171
105,Melissa Sousa Farias,619.582.734-78,1990-04-18,melissa.farias@gmail.com,11700-170,173
106,Enzo Ribeiro da Silva,736.491.825-89,2007-07-07,enzo.silva@hotmail.com,11320-120,175
107,Lavínia Pereira Santos,192.837.465-90,1996-10-29,lavinia.santos@uol.com.br,17515-100,177
108,Joaquim Costa Oliveira,918.273.645-01,1982-01-14,joaquim.oliveira@yahoo.com.br,17015-321,179
109,Isadora Souza Lima,827.364.591-12,2009-04-05,isadora.lima@outlook.com,16015-243,181
110,Matias Gomes Rodrigues,364.591.827-23,1988-07-27,matias.rodrigues@terra.com.br,18035-370,183
111,Esther Ferreira Alves,591.827.364-34,2000-09-16,esther.alves@protonmail.com,19010-071,185
112,Emanuel Martins Carvalho,273.645.918-45,1986-11-08,emanuel.carvalho@globomail.com,19800-021,187
113,Rebeca Barros Correia,482.736.591-56,2005-02-15,rebeca.correia@gmail.com,15085-350,189
114,João Miguel Azevedo Rocha,619.582.734-67,1991-05-24,joao.rocha@hotmail.com,13270-130,191
115,Sarah Pinto Cardoso,736.491.825-78,2002-08-06,sarah.cardoso@uol.com.br,13170-023,193
116,Lucca Nunes Dias,192.837.465-89,1989-10-19,lucca.dias@yahoo.com.br,13087-570,195
117,Ana Liz Mendes Castro,918.273.645-90,1997-12-04,ana.castro@outlook.com,13400-180,197
118,Erick Barbosa Moraes,827.364.591-01,1984-03-22,erick.moraes@terra.com.br,13560-160,199
119,Yasmin Ramos Pires,364.591.827-12,2008-06-13,yasmin.pires@protonmail.com,14400-740,201
120,Bryan Sousa Farias,591.827.364-23,1995-09-02,bryan.farias@globomail.com,14780-280,203
121,Antonella Ribeiro da Silva,273.645.918-34,1981-12-10,antonella.silva@gmail.com,15400-000,205
122,Felipe Pereira Santos,482.736.591-45,2006-03-17,felipe.santos@hotmail.com,16200-035,207
123,Elisa Costa Oliveira,619.582.734-56,1993-05-08,elisa.oliveira@uol.com.br,17201-440,209
124,Daniel Souza Lima,736.491.825-67,2004-08-16,daniel.lima@yahoo.com.br,18600-050,211
125,Alícia Gomes Rodrigues,192.837.465-78,1990-11-23,alicia.rodrigues@outlook.com,18270-010,213
126,Breno Ferreira Alves,918.273.645-89,1980-02-02,breno.alves@terra.com.br,19900-051,215
127,Clara Martins Carvalho,827.364.591-90,2001-05-18,clara.carvalho@protonmail.com,12500-010,217
128,Caio Barros Correia,364.591.827-01,1987-07-14,caio.correia@globomail.com,12900-005,219
129,Maria Cecília Azevedo Rocha,591.827.364-12,1998-10-06,maria.rocha@gmail.com,11680-000,221
130,Enzo Gabriel Pinto Cardoso,273.645.918-23,2007-01-28,enzo.cardoso@hotmail.com,11510-000,223
131,Maria Clara Nunes Dias,482.736.591-34,1994-04-21,maria.dias@uol.com.br,11410-192,225
132,Vinícius Mendes Castro,619.582.734-45,1983-06-26,vinicius.castro@yahoo.com.br,11310-060,227
133,Isis Barbosa Moraes,736.491.825-56,2003-09-11,isis.moraes@outlook.com,11250-000,229
134,Benício Ramos Pires,192.837.465-67,1992-11-05,benicio.pires@terra.com.br,09861-140,231
135,Maria Alice Sousa Farias,918.273.645-78,2009-02-18,maria.farias@protonmail.com,09840-000,233
136,João Lucas Ribeiro da Silva,827.364.591-89,1985-05-14,joao.silva@globomail.com,09632-050,235
137,Maya Pereira Santos,364.591.827-90,1999-08-25,maya.santos@gmail.com,09780-260,237
138,Davi Lucca Ferreira Alves,591.827.364-89,2001-01-26,davi.alves@hotmail.com,24320-570,95
139,Ana Laura Martins Carvalho,273.645.918-90,1990-03-30,ana.carvalho@uol.com.br,30575-837,97
140,Isaac Barros Correia,482.736.591-01,2003-06-12,isaac.correia@yahoo.com.br,31270-901,99
141,Maria Eduarda Azevedo Rocha,619.582.734-12,1986-09-04,maria.rocha@outlook.com,40296-720,101
142,João Pedro Pinto Cardoso,736.491.825-23,1992-12-11,joao.cardoso@terra.com.br,41820-021,103
143,Maria Helena Nunes Dias,192.837.465-34,2006-03-07,maria.dias@protonmail.com,52061-540,105
144,Anthony Mendes Castro,918.273.645-45,1994-06-28,anthony.castro@globomail.com,54400-160,107
145,Ana Clara Barbosa Moraes,827.364.591-56,1981-08-22,ana.moraes@gmail.com,59064-900,109
146,Leonardo Ramos Pires,364.591.827-67,2008-11-18,leonardo.pires@hotmail.com,60811-341,111
147,Stella Sousa Farias,591.827.364-78,1995-01-05,stella.farias@uol.com.br,62010-390,113
148,Henry Ribeiro da Silva,273.645.918-89,1985-04-14,henry.silva@yahoo.com.br,66085-024,115
149,Gabriela Pereira Santos,482.736.591-90,2005-07-23,gabriela.santos@outlook.com,74215-220,117
150,Caleb Costa Oliveira,619.582.734-01,1992-10-10,caleb.oliveira@terra.com.br,72876-004,119
