id_cliente,nome_completo,cpf_cnpj,email,telefone,data_nascimento,data_cadastro
38,Cliente Nome 38,00000000038,cliente38@emailaleatorio.com,11900000038,,2025-07-24 17:49:55
39,Cliente Nome 39,00000000039,cliente39@emailaleatorio.com,11900000039,,2025-07-24 17:49:55
40,Cliente Nome 40,00000000040,cliente40@emailaleatorio.com,11900000040,,2025-07-24 17:49:55
41,Cliente Nome 41,00000000041,cliente41@emailaleatorio.com,11900000041,,2025-07-24 17:49:56
42,Cliente Nome 42,00000000042,cliente42@emailaleatorio.com,11900000042,,2025-07-24 17:49:56
43,Cliente Nome 43,00000000043,cliente43@emailaleatorio.com,11900000043,,2025-07-24 17:49:56
44,Cliente Nome 44,00000000044,cliente44@emailaleatorio.com,11900000044,,2025-07-24 17:49:56
45,Cliente Nome 45,00000000045,cliente45@emailaleatorio.com,11900000045,,2025-07-24 17:49:56
46,Cliente Nome 46,00000000046,cliente46@emailaleatorio.com,11900000046,,2025-07-24 17:49:56
47,Cliente Nome 47,00000000047,cliente47@emailaleatorio.com,11900000047,,2025-07-24 17:49:56
48,Cliente Nome 48,00000000048,cliente48@emailaleatorio.com,11900000048,,2025-07-24 17:49:56
49,Cliente Nome 49,00000000049,cliente49@emailaleatorio.com,11900000049,,2025-07-24 17:49:56
50,Cliente Nome 50,00000000050,cliente50@emailaleatorio.com,11900000050,,2025-07-24 17:49:56
51,Cliente Nome 51,00000000051,cliente51@emailaleatorio.com,11900000051,,2025-07-24 17:49:56
52,Cliente Nome 52,00000000052,cliente52@emailaleatorio.com,11900000052,,2025-07-24 17:49:56
53,Cliente Nome 53,00000000053,cliente53@emailaleatorio.com,11900000053,,2025-07-24 17:49:56
54,Cliente Nome 54,00000000054,cliente54@emailaleatorio.com,11900000054,,2025-07-24 17:49:56
55,Cliente Nome 55,00000000055,cliente55@emailaleatorio.com,11900000055,,2025-07-24 17:49:56
56,Cliente Nome 56,00000000056,cliente56@emailaleatorio.com,11900000056,,2025-07-24 17:49:56
57,Cliente Nome 57,00000000057,cliente57@emailaleatorio.com,11900000057,,2025-07-24 17:49:56
58,Cliente Nome 58,00000000058,cliente58@emailaleatorio.com,11900000058,,2025-07-24 17:49:56
59,Cliente Nome 59,00000000059,cliente59@emailaleatorio.com,11900000059,,2025-07-24 17:49:56
60,Cliente Nome 60,00000000060,cliente60@emailaleatorio.com,11900000060,,2025-07-24 17:49:56
61,Cliente Nome 61,00000000061,cliente61@emailaleatorio.com,11900000061,,2025-07-24 17:49:56
62,Cliente Nome 62,00000000062,cliente62@emailaleatorio.com,11900000062,,2025-07-24 17:49:56
63,Cliente Nome 63,00000000063,cliente63@emailaleatorio.com,11900000063,,2025-07-24 17:49:56
64,Cliente Nome 64,00000000064,cliente64@emailaleatorio.com,11900000064,,2025-07-24 17:49:56
65,Cliente Nome 65,00000000065,cliente65@emailaleatorio.com,11900000065,,2025-07-24 17:49:56
66,Cliente Nome 66,00000000066,cliente66@emailaleatorio.com,11900000066,,2025-07-24 17:49:56
67,Cliente Nome 67,00000000067,cliente67@emailaleatorio.com,11900000067,,2025-07-24 17:49:56
68,Cliente Nome 68,00000000068,cliente68@emailaleatorio.com,11900000068,,2025-07-24 17:49:56
69,Cliente Nome 69,00000000069,cliente69@emailaleatorio.com,11900000069,,2025-07-24 17:49:56
70,Cliente Nome 70,00000000070,cliente70@emailaleatorio.com,11900000070,,2025-07-24 17:49:56
71,Cliente Nome 71,00000000071,cliente71@emailaleatorio.com,11900000071,,2025-07-24 17:49:56
72,Cliente Nome 72,00000000072,cliente72@emailaleatorio.com,11900000072,,2025-07-24 17:49:56
73,Cliente Nome 73,00000000073,cliente73@emailaleatorio.com,11900000073,,2025-07-24 17:49:56
74,Cliente Nome 74,00000000074,cliente74@emailaleatorio.com,11900000074,,2025-07-24 17:49:56
75,Cliente Nome 75,00000000075,cliente75@emailaleatorio.com,11900000075,,2025-07-24 17:49:56
76,Cliente Nome 76,00000000076,cliente76@emailaleatorio.com,11900000076,,2025-07-24 17:49:56
77,Cliente Nome 77,00000000077,cliente77@emailaleatorio.com,11900000077,,2025-07-24 17:49:56
78,Cliente Nome 78,00000000078,cliente78@emailaleatorio.com,11900000078,,2025-07-24 17:49:56
79,Cliente Nome 79,00000000079,cliente79@emailaleatorio.com,11900000079,,2025-07-24 17:49:56
80,Cliente Nome 80,00000000080,cliente80@emailaleatorio.com,11900000080,,2025-07-24 17:49:56
81,Cliente Nome 81,00000000081,cliente81@emailaleatorio.com,11900000081,,2025-07-24 17:49:56
82,Cliente Nome 82,00000000082,cliente82@emailaleatorio.com,11900000082,,2025-07-24 17:49:56
83,Cliente Nome 83,00000000083,cliente83@emailaleatorio.com,11900000083,,2025-07-24 17:49:56
84,Cliente Nome 84,00000000084,cliente84@emailaleatorio.com,11900000084,,2025-07-24 17:49:56
85,Cliente Nome 85,00000000085,cliente85@emailaleatorio.com,11900000085,,2025-07-24 17:49:56
86,Cliente Nome 86,00000000086,cliente86@emailaleatorio.com,11900000086,,2025-07-24 17:49:56
87,Cliente Nome 87,00000000087,cliente87@emailaleatorio.com,11900000087,,2025-07-24 17:49:56
88,Cliente Nome 88,00000000088,cliente88@emailaleatorio.com,11900000088,,2025-07-24 17:49:56
89,Cliente Nome 89,00000000089,cliente89@emailaleatorio.com,11900000089,,2025-07-24 17:49:56
90,Cliente Nome 90,00000000090,cliente90@emailaleatorio.com,11900000090,,2025-07-24 17:49:56
91,Cliente Nome 91,00000000091,cliente91@emailaleatorio.com,11900000091,,2025-07-24 17:49:56
92,Cliente Nome 92,00000000092,cliente92@emailaleatorio.com,11900000092,,2025-07-24 17:49:56
93,Cliente Nome 93,00000000093,cliente93@emailaleatorio.com,11900000093,,2025-07-24 17:49:56
94,Cliente Nome 94,00000000094,cliente94@emailaleatorio.com,11900000094,,2025-07-24 17:49:56
95,Cliente Nome 95,00000000095,cliente95@emailaleatorio.com,11900000095,,2025-07-24 17:49:56
96,Cliente Nome 96,00000000096,cliente96@emailaleatorio.com,11900000096,,2025-07-24 17:49:56
97,Cliente Nome 97,00000000097,cliente97@emailaleatorio.com,11900000097,,2025-07-24 17:49:56
98,Cliente Nome 98,00000000098,cliente98@emailaleatorio.com,11900000098,,2025-07-24 17:49:56
99,Cliente Nome 99,00000000099,cliente99@emailaleatorio.com,11900000099,,2025-07-24 17:49:56
100,Cliente Nome 100,00000000100,cliente100@emailaleatorio.com,11900000100,,2025-07-24 17:49:56
101,Cliente Nome 101,00000000101,cliente101@emailaleatorio.com,11900000101,,2025-07-24 17:49:56
102,Cliente Nome 102,00000000102,cliente102@emailaleatorio.com,11900000102,,2025-07-24 17:49:56
103,Cliente Nome 103,00000000103,cliente103@emailaleatorio.com,11900000103,,2025-07-24 17:49:56
104,Cliente Nome 104,00000000104,cliente104@emailaleatorio.com,11900000104,,2025-07-24 17:49:56
105,Cliente Nome 105,00000000105,cliente105@emailaleatorio.com,11900000105,,2025-07-24 17:49:56
106,Cliente Nome 106,00000000106,cliente106@emailaleatorio.com,11900000106,,2025-07-24 17:49:56
107,Cliente Nome 107,00000000107,cliente107@emailaleatorio.com,11900000107,,2025-07-24 17:49:56
108,Cliente Nome 108,00000000108,cliente108@emailaleatorio.com,11900000108,,2025-07-24 17:49:56
109,Cliente Nome 109,00000000109,cliente109@emailaleatorio.com,11900000109,,2025-07-24 17:49:56
110,Cliente Nome 110,00000000110,cliente110@emailaleatorio.com,11900000110,,2025-07-24 17:49:56
111,Cliente Nome 111,00000000111,cliente111@emailaleatorio.com,11900000111,,2025-07-24 17:49:56
112,Cliente Nome 112,00000000112,cliente112@emailaleatorio.com,11900000112,,2025-07-24 17:49:56
113,Cliente Nome 113,00000000113,cliente113@emailaleatorio.com,11900000113,,2025-07-24 17:49:56
114,Cliente Nome 114,00000000114,cliente114@emailaleatorio.com,11900000114,,2025-07-24 17:49:56
115,Cliente Nome 115,00000000115,cliente115@emailaleatorio.com,11900000115,,2025-07-24 17:49:56
116,Cliente Nome 116,00000000116,cliente116@emailaleatorio.com,11900000116,,2025-07-24 17:49:56
117,Cliente Nome 117,00000000117,cliente117@emailaleatorio.com,11900000117,,2025-07-24 17:49:56
118,Cliente Nome 118,00000000118,cliente118@emailaleatorio.com,11900000118,,2025-07-24 17:49:56
119,Cliente Nome 119,00000000119,cliente119@emailaleatorio.com,11900000119,,2025-07-24 17:49:56
120,Cliente Nome 120,00000000120,cliente120@emailaleatorio.com,11900000120,,2025-07-24 17:49:56
121,Cliente Nome 121,00000000121,cliente121@emailaleatorio.com,11900000121,,2025-07-24 17:49:56
122,Cliente Nome 122,00000000122,cliente122@emailaleatorio.com,11900000122,,2025-07-24 17:49:56
123,Cliente Nome 123,00000000123,cliente123@emailaleatorio.com,11900000123,,2025-07-24 17:49:56
124,Cliente Nome 124,00000000124,cliente124@emailaleatorio.com,11900000124,,2025-07-24 17:49:56
125,Cliente Nome 125,00000000125,cliente125@emailaleatorio.com,11900000125,,2025-07-24 17:49:56
126,Cliente Nome 126,00000000126,cliente126@emailaleatorio.com,11900000126,,2025-07-24 17:49:56
127,Cliente Nome 127,00000000127,cliente127@emailaleatorio.com,11900000127,,2025-07-24 17:49:56
128,Cliente Nome 128,00000000128,cliente128@emailaleatorio.com,11900000128,,2025-07-24 17:49:56
129,Cliente Nome 129,00000000129,cliente129@emailaleatorio.com,11900000129,,2025-07-24 17:49:56
130,Cliente Nome 130,00000000130,cliente130@emailaleatorio.com,11900000130,,2025-07-24 17:49:56
131,Cliente Nome 131,00000000131,cliente131@emailaleatorio.com,11900000131,,2025-07-24 17:49:56
132,Cliente Nome 132,00000000132,cliente132@emailaleatorio.com,11900000132,,2025-07-24 17:49:56
133,Cliente Nome 133,00000000133,cliente133@emailaleatorio.com,11900000133,,2025-07-24 17:49:56
134,Cliente Nome 134,00000000134,cliente134@emailaleatorio.com,11900000134,,2025-07-24 17:49:56
135,Cliente Nome 135,00000000135,cliente135@emailaleatorio.com,11900000135,,2025-07-24 17:49:56
136,Cliente Nome 136,00000000136,cliente136@emailaleatorio.com,11900000136,,2025-07-24 17:49:56
137,Cliente Nome 137,00000000137,cliente137@emailaleatorio.com,11900000137,,2025-07-24 17:49:56
138,Cliente Nome 138,00000000138,cliente138@emailaleatorio.com,11900000138,,2025-07-24 17:49:56
139,Cliente Nome 139,00000000139,cliente139@emailaleatorio.com,11900000139,,2025-07-24 17:49:56
140,Cliente Nome 140,00000000140,cliente140@emailaleatorio.com,11900000140,,2025-07-24 17:49:56
141,Cliente Nome 141,00000000141,cliente141@emailaleatorio.com,11900000141,,2025-07-24 17:49:56
142,Cliente Nome 142,00000000142,cliente142@emailaleatorio.com,11900000142,,2025-07-24 17:49:56
143,Cliente Nome 143,00000000143,cliente143@emailaleatorio.com,11900000143,,2025-07-24 17:49:56
144,Cliente Nome 144,00000000144,cliente144@emailaleatorio.com,11900000144,,2025-07-24 17:49:56
145,Cliente Nome 145,00000000145,cliente145@emailaleatorio.com,11900000145,,2025-07-24 17:49:56
146,Cliente Nome 146,00000000146,cliente146@emailaleatorio.com,11900000146,,2025-07-24 17:49:56
147,Cliente Nome 147,00000000147,cliente147@emailaleatorio.com,11900000147,,2025-07-24 17:49:56
148,Cliente Nome 148,00000000148,cliente148@emailaleatorio.com,11900000148,,2025-07-24 17:49:56
149,Cliente Nome 149,00000000149,cliente149@emailaleatorio.com,11900000149,,2025-07-24 17:49:56
150,Cliente Nome 150,00000000150,cliente150@emailaleatorio.com,11900000150,,2025-07-24 17:49:56
